analysis_period,gvkey,commodity,alpha,beta,p_value_beta,r_squared,spearman_corr,spearman_pval
Up to end_of_2010,24071,SN1 Comdty,0.7400195858072363,-1.6351886260613525e-05,1.3679512916022026e-46,0.5566757589928376,-0.8318169786864429,1.2450675703700212e-66
Up to end_of_2010,24076,SN1 Comdty,0.09532014702906884,3.230857466464208e-08,0.9364427443700828,3.8189659539944465e-05,-0.24620585620071037,0.0012520954601455696
Up to end_of_2010,24135,SN1 Comdty,-0.015691385304295768,2.429889543444084e-06,0.4656077176902239,0.5539182202859243,0.5,0.6666666666666667
Up to end_of_2010,24157,SN1 Comdty,24.646381282545104,-3.8800507290978994e-05,0.9387394236346993,0.00011931181758129128,-0.012891658840604458,0.9277254497049492
Up to end_of_2010,24216,SN1 Comdty,0.08857461030319441,-2.5612496010131794e-06,2.055169309370433e-16,0.377467539455007,-0.6166012726625658,1.4958399003212972e-16
Up to end_of_2010,24232,SN1 Comdty,205.40494547400422,0.001671396972433988,8.278732536406193e-16,0.29482680404721195,0.6170169729072055,4.156942016045939e-21
Up to end_of_2010,24287,SN1 Comdty,6.729361228188467,-2.976024450921539e-05,0.00015497883055700873,0.05467845166679386,-0.39013160941156655,9.022246008878591e-11
Up to end_of_2010,24293,SN1 Comdty,-0.38764234240092665,2.270632067379271e-05,1.0549619931364246e-20,0.29257683645125676,0.6177738380117899,4.011132309761926e-28
Up to end_of_2010,24302,SN1 Comdty,2.0135352683393872,4.594557214097767e-05,3.7730262375236117e-31,0.4172346075686513,0.7328320063410343,1.068241210520548e-43
Up to end_of_2010,24316,SN1 Comdty,-5.395458692999737,0.0012947887807769807,5.139569771674543e-91,0.8073225068043743,0.7097052282742919,9.393212863144042e-40
Up to end_of_2010,24344,SN1 Comdty,650.1807860719024,-0.003044431322335163,0.008725930394791626,0.028193800129563407,-0.3006655819652526,1.8090821953267066e-06
Up to end_of_2010,24350,SN1 Comdty,0.9879734590367861,-1.3281463684442578e-05,4.670255183917676e-22,0.30869908749295183,-0.7628389165672348,8.038844536099996e-50
Up to end_of_2010,24379,SN1 Comdty,-0.009232952713359204,1.285608888337395e-06,6.819605021128566e-22,0.30664492070368965,0.17104415627083813,0.006178702244182814
Up to end_of_2010,24405,SN1 Comdty,153.84702666934527,0.003582584323932915,3.427065242442216e-83,0.8047735905005009,0.7254712359115496,5.052376205520324e-39
Up to end_of_2010,24430,SN1 Comdty,20.244033102434038,-0.0002665003158364593,5.308042666199247e-27,0.3735987252208076,-0.7702534673879836,2.3319964264045806e-50
Up to end_of_2010,24440,SN1 Comdty,0.2137607841004378,-9.599506643952403e-08,0.8037453862669227,0.0007574120004184559,-0.059089459413099385,0.5933996480912308
Up to end_of_2010,24481,SN1 Comdty,1.1879672370455467,-1.8401590065360477e-05,0.05348461517143894,0.02126165170537453,-0.35349786042837344,1.490078543520816e-06
Up to end_of_2010,24601,SN1 Comdty,6.8541249262358255,-0.000128926288568667,2.4889554567829525e-66,0.6960173495918618,-0.8474018373010658,2.057867647357431e-70
Up to end_of_2010,24616,SN1 Comdty,0.7979777891049271,1.4648592805712197e-05,1.2129413483272518e-42,0.6602227443353849,0.44625003852124107,5.389052856142304e-10
Up to end_of_2010,24617,SN1 Comdty,-0.11760224952501275,1.4086753966644537e-05,7.56792485562494e-43,0.5297595582198017,0.7328363667942098,1.0663931928816574e-43
Up to end_of_2010,24678,SN1 Comdty,-7.408810852044213,0.00048490183931632086,6.798868848273077e-37,0.4795812411840188,0.7497785656187362,3.3912496022262305e-46
Up to end_of_2010,24720,SN1 Comdty,2.0553989167484534,-2.5135295442830406e-05,1.596263895433424e-20,0.29619121091413203,-0.6616585097592903,1.3198108496592924e-32
Up to end_of_2010,24725,SN1 Comdty,1.6127748373013229,-4.815370757086628e-06,0.001458796924516243,0.0404224409884153,-0.29624100552462324,2.0476968139440886e-06
Up to end_of_2010,24731,SN1 Comdty,1.7044141263346964,1.1924468737768621e-05,6.3741493302007136e-15,0.23178479883696257,0.4282658836839048,8.248565166446035e-12
Up to end_of_2010,24750,SN1 Comdty,0.6825566954209489,-1.4093500356774185e-06,0.13444330546452293,0.014304505106234933,-0.3698686402341586,1.7271019474714182e-06
Up to end_of_2010,24782,SN1 Comdty,-0.8725217107170964,7.244661660397514e-05,5.527887071350774e-24,0.5801617836472743,0.754791606984322,2.3793115115043784e-23
Up to end_of_2010,24800,SN1 Comdty,7.544975683667115,4.112039886187719e-05,0.026592482984110336,0.4377929434708141,0.8454545454545455,0.0010451821458586869
Up to end_of_2010,24861,SN1 Comdty,0.05504256020926748,1.5444438779724343e-06,1.8655477130924572e-38,0.5351298365374269,0.5566132833451822,1.8467240343725855e-19
Up to end_of_2010,24905,SN1 Comdty,0.06612970761814845,1.226278439387775e-05,1.2472817921501357e-71,0.7315520435300338,0.6363429893900482,2.5040384289814243e-29
Up to end_of_2010,24925,SN1 Comdty,0.08259849499286553,-3.5951260519465897e-07,0.006522787271824281,0.029692163500597335,-0.24199491376869098,0.00011857605143565292
Up to end_of_2010,24975,SN1 Comdty,4.789568321651408,7.898339506773251e-05,2.7489097864651707e-37,0.48336702835837186,0.5986823925566362,1.3192052122381467e-25
Up to end_of_2010,24978,SN1 Comdty,1.866690984491509,-1.1947203825100702e-05,1.0019234584119211e-08,0.12472032002801847,-0.47003928690870617,4.328007865952387e-15
Up to end_of_2010,25030,SN1 Comdty,0.11174486552266374,3.176092857744051e-06,3.099625944804614e-72,0.7907101471892272,0.8596484252624423,2.7006030828742234e-62
Up to end_of_2010,25110,SN1 Comdty,3.7897993686808427,-5.629331755496694e-05,7.530319432660624e-47,0.5587564902269447,-0.8547484436495456,5.173941272976504e-74
Up to end_of_2010,25119,SN1 Comdty,0.3835963437354287,3.019481971926207e-06,0.0037903802110607226,0.032905670060794034,-0.0798863873615874,0.20536870325274906
