Commodity,Date,Open
CL1 Comdty,07/12/2011,101.11
CL1 Comdty,08/12/2011,100.84
CL1 Comdty,09/12/2011,98.08
CL1 Comdty,12/12/2011,99.58
CL1 Comdty,13/12/2011,97.85
CL1 Comdty,14/12/2011,100.33
CL1 Comdty,15/12/2011,94.89
CL1 Comdty,16/12/2011,93.42
CL1 Comdty,19/12/2011,93.76
CL1 Comdty,20/12/2011,94.14
CL1 Comdty,21/12/2011,97.53
CL1 Comdty,22/12/2011,99.03
CL1 Comdty,23/12/2011,99.48
CL1 Comdty,27/12/2011,99.92
CL1 Comdty,28/12/2011,101.25
CL1 Comdty,29/12/2011,99.59
CL1 Comdty,30/12/2011,99.78
CL1 Comdty,03/01/2012,99.7
CL1 Comdty,04/01/2012,102.99
CL1 Comdty,05/01/2012,103.29
CL1 Comdty,06/01/2012,101.35
CL1 Comdty,09/01/2012,101.92
CL1 Comdty,10/01/2012,101.3
CL1 Comdty,11/01/2012,102.2
CL1 Comdty,12/01/2012,101
CL1 Comdty,13/01/2012,99.2
CL1 Comdty,17/01/2012,99.66
CL1 Comdty,18/01/2012,100.91
CL1 Comdty,19/01/2012,101.14
CL1 Comdty,20/01/2012,100.39
CL1 Comdty,23/01/2012,98.34
CL1 Comdty,24/01/2012,99.88
CL1 Comdty,25/01/2012,99.2
CL1 Comdty,26/01/2012,99.96
CL1 Comdty,27/01/2012,99.93
CL1 Comdty,30/01/2012,100
CL1 Comdty,31/01/2012,98.88
CL1 Comdty,01/02/2012,98.38
CL1 Comdty,02/02/2012,97.11
CL1 Comdty,03/02/2012,96.61
CL1 Comdty,06/02/2012,97.74
CL1 Comdty,07/02/2012,97.13
CL1 Comdty,08/02/2012,98.77
CL1 Comdty,09/02/2012,99.1
CL1 Comdty,10/02/2012,99.89
CL1 Comdty,13/02/2012,99.33
CL1 Comdty,14/02/2012,100.73
CL1 Comdty,15/02/2012,100.9
CL1 Comdty,16/02/2012,101.9
CL1 Comdty,17/02/2012,102.35
CL1 Comdty,21/02/2012,104.65
CL1 Comdty,22/02/2012,106.01
CL1 Comdty,23/02/2012,105.95
CL1 Comdty,24/02/2012,108.66
CL1 Comdty,27/02/2012,109.67
CL1 Comdty,28/02/2012,107.95
CL1 Comdty,29/02/2012,106.46
CL1 Comdty,01/03/2012,106.82
CL1 Comdty,02/03/2012,108.75
CL1 Comdty,05/03/2012,106.75
CL1 Comdty,06/03/2012,107.11
CL1 Comdty,07/03/2012,104.93
CL1 Comdty,08/03/2012,106.24
CL1 Comdty,09/03/2012,106.91
CL1 Comdty,12/03/2012,107.5
CL1 Comdty,13/03/2012,106.55
CL1 Comdty,14/03/2012,106.69
CL1 Comdty,15/03/2012,105.5
CL1 Comdty,16/03/2012,105.44
CL1 Comdty,19/03/2012,107.18
CL1 Comdty,20/03/2012,107.82
CL1 Comdty,21/03/2012,106.33
CL1 Comdty,22/03/2012,106.81
CL1 Comdty,23/03/2012,105.52
CL1 Comdty,26/03/2012,106.79
CL1 Comdty,27/03/2012,107.09
CL1 Comdty,28/03/2012,106.81
CL1 Comdty,29/03/2012,105.58
CL1 Comdty,30/03/2012,103.29
CL1 Comdty,02/04/2012,103.27
CL1 Comdty,03/04/2012,105.04
CL1 Comdty,04/04/2012,104.09
CL1 Comdty,05/04/2012,101.96
CL1 Comdty,09/04/2012,102.53
CL1 Comdty,10/04/2012,102.33
CL1 Comdty,11/04/2012,100.94
CL1 Comdty,12/04/2012,102.55
CL1 Comdty,13/04/2012,103.66
CL1 Comdty,16/04/2012,102.8
CL1 Comdty,17/04/2012,103.15
CL1 Comdty,18/04/2012,104.22
CL1 Comdty,19/04/2012,102.73
CL1 Comdty,20/04/2012,102.57
CL1 Comdty,23/04/2012,103.82
CL1 Comdty,24/04/2012,103.11
CL1 Comdty,25/04/2012,103.76
CL1 Comdty,26/04/2012,103.96
CL1 Comdty,27/04/2012,104.1
CL1 Comdty,30/04/2012,104.93
CL1 Comdty,01/05/2012,104.89
CL1 Comdty,02/05/2012,105.98
CL1 Comdty,03/05/2012,105.39
CL1 Comdty,04/05/2012,102.59
CL1 Comdty,07/05/2012,98.05
CL1 Comdty,08/05/2012,97.96
CL1 Comdty,09/05/2012,97.38
CL1 Comdty,10/05/2012,96.45
CL1 Comdty,11/05/2012,96.53
CL1 Comdty,14/05/2012,95.79
CL1 Comdty,15/05/2012,93.91
CL1 Comdty,16/05/2012,93.16
CL1 Comdty,17/05/2012,92.77
CL1 Comdty,18/05/2012,92.86
CL1 Comdty,21/05/2012,91.27
CL1 Comdty,22/05/2012,92.64
CL1 Comdty,23/05/2012,91.54
CL1 Comdty,24/05/2012,90.53
CL1 Comdty,25/05/2012,90.79
CL1 Comdty,29/05/2012,91
CL1 Comdty,30/05/2012,90.86
CL1 Comdty,31/05/2012,87.55
CL1 Comdty,01/06/2012,86.44
CL1 Comdty,04/06/2012,82.96
CL1 Comdty,05/06/2012,84.14
CL1 Comdty,06/06/2012,84.12
CL1 Comdty,07/06/2012,85.5
CL1 Comdty,08/06/2012,83.63
CL1 Comdty,11/06/2012,85.72
CL1 Comdty,12/06/2012,81.18
CL1 Comdty,13/06/2012,83.51
CL1 Comdty,14/06/2012,82.44
CL1 Comdty,15/06/2012,84.33
CL1 Comdty,18/06/2012,85.09
CL1 Comdty,19/06/2012,83.06
CL1 Comdty,20/06/2012,84.04
CL1 Comdty,21/06/2012,81.08
CL1 Comdty,22/06/2012,78.11
CL1 Comdty,25/06/2012,80.2
CL1 Comdty,26/06/2012,79.23
CL1 Comdty,27/06/2012,79.47
CL1 Comdty,28/06/2012,80.48
CL1 Comdty,29/06/2012,78.46
CL1 Comdty,02/07/2012,84.65
CL1 Comdty,03/07/2012,83.67
CL1 Comdty,05/07/2012,87.75
CL1 Comdty,06/07/2012,86.73
CL1 Comdty,09/07/2012,84.2
CL1 Comdty,10/07/2012,85.84
CL1 Comdty,11/07/2012,84.01
CL1 Comdty,12/07/2012,86.2
CL1 Comdty,13/07/2012,85.86
CL1 Comdty,16/07/2012,87.13
CL1 Comdty,17/07/2012,88.26
CL1 Comdty,18/07/2012,89.13
CL1 Comdty,19/07/2012,90.08
CL1 Comdty,20/07/2012,92.22
CL1 Comdty,23/07/2012,91.61
CL1 Comdty,24/07/2012,88.05
CL1 Comdty,25/07/2012,88.2
CL1 Comdty,26/07/2012,89.1
CL1 Comdty,27/07/2012,89.43
CL1 Comdty,30/07/2012,90.14
CL1 Comdty,31/07/2012,89.67
CL1 Comdty,01/08/2012,88.03
CL1 Comdty,02/08/2012,88.87
CL1 Comdty,03/08/2012,87.26
CL1 Comdty,06/08/2012,91.34
CL1 Comdty,07/08/2012,92.05
CL1 Comdty,08/08/2012,93.41
CL1 Comdty,09/08/2012,93.43
CL1 Comdty,10/08/2012,93.46
CL1 Comdty,13/08/2012,93.25
CL1 Comdty,14/08/2012,92.71
CL1 Comdty,15/08/2012,93.25
CL1 Comdty,16/08/2012,94.21
CL1 Comdty,17/08/2012,95.23
CL1 Comdty,20/08/2012,96.36
CL1 Comdty,21/08/2012,95.97
CL1 Comdty,22/08/2012,96.94
CL1 Comdty,23/08/2012,97.3
CL1 Comdty,24/08/2012,96.06
CL1 Comdty,27/08/2012,96.67
CL1 Comdty,28/08/2012,95.66
CL1 Comdty,29/08/2012,96.08
CL1 Comdty,30/08/2012,95.3
CL1 Comdty,31/08/2012,94.75
CL1 Comdty,04/09/2012,96.38
CL1 Comdty,05/09/2012,95.61
CL1 Comdty,06/09/2012,96
CL1 Comdty,07/09/2012,94.7
CL1 Comdty,10/09/2012,96.24
CL1 Comdty,11/09/2012,96.29
CL1 Comdty,12/09/2012,96.85
CL1 Comdty,13/09/2012,96.93
CL1 Comdty,14/09/2012,98.04
CL1 Comdty,17/09/2012,99.15
CL1 Comdty,18/09/2012,96.71
CL1 Comdty,19/09/2012,95.49
CL1 Comdty,20/09/2012,91.77
CL1 Comdty,21/09/2012,92.93
CL1 Comdty,24/09/2012,93.18
CL1 Comdty,25/09/2012,92.11
CL1 Comdty,26/09/2012,90.82
CL1 Comdty,27/09/2012,90.08
CL1 Comdty,28/09/2012,92.35
CL1 Comdty,01/10/2012,92.15
CL1 Comdty,02/10/2012,92.41
CL1 Comdty,03/10/2012,91.64
CL1 Comdty,04/10/2012,88.01
CL1 Comdty,05/10/2012,91.51
CL1 Comdty,08/10/2012,89.85
CL1 Comdty,09/10/2012,89.62
CL1 Comdty,10/10/2012,92.26
CL1 Comdty,11/10/2012,91.27
CL1 Comdty,12/10/2012,92.41
CL1 Comdty,15/10/2012,91.63
CL1 Comdty,16/10/2012,91.76
CL1 Comdty,17/10/2012,92.08
CL1 Comdty,18/10/2012,92.06
CL1 Comdty,19/10/2012,92.04
CL1 Comdty,22/10/2012,89.52
CL1 Comdty,23/10/2012,89.14
